Model,Score
AMD Ryzen 5 3600X,18217
Intel Xeon W-2145 @ 3.70GHz,18192
Intel Xeon E5-2686 v3 @ 2.00GHz,18148
AMD Ryzen 5 PRO 7540U,18140
Intel Xeon Gold 5120T @ 2.20GHz,18127
Intel Core i5-11600 @ 2.80GHz,18099
AMD 4700S,18095
Intel Core i7-9800X @ 3.80GHz,18078
Intel Xeon D-2187NT @ 2.00GHz,18070
Intel Xeon E5-2687W v4 @ 3.00GHz,18054
Intel Core i7-1270PE,17960
Intel Xeon E5-2680 v4 @ 2.40GHz,17932
Intel Core i7-13700E,17832
Intel Xeon D-1736NT @ 2.70GHz,17826
AMD Ryzen 5 3600,17773
Intel Xeon E5-2683 v4 @ 2.10GHz,17765
Intel Xeon Gold 6234 @ 3.30GHz,17752
Intel Core i5-11500B @ 3.30GHz,17752
AMD Ryzen 5 PRO 3600,17748
Intel Core i5-1250PE,17738
Intel Xeon Gold 5120 @ 2.20GHz,17686
Intel Xeon W-1270 @ 3.40GHz,17641
Intel Core i5-12600T,17551
AMD Ryzen 7 2700X,17540
Intel Xeon E5-2680R v4 @ 2.40GHz,17487
Intel Xeon W-11555MRE @ 2.60GHz,17484
Intel Core i7-1270P,17472
Intel Core i7-6950X @ 3.00GHz,17472
AMD Ryzen 7 4980U Microsoft Surface Edition,17469
Intel Core i5-11500 @ 2.70GHz,17433
Intel Xeon E5-4669 v3 @ 2.10GHz,17430
Intel Core i5-12450H,17368
Intel Xeon E-2288G @ 3.70GHz,17359
Intel Core i5-1240P,17310
Intel Core 5 120U,17292
Intel Xeon W-2140B @ 3.20GHz,17287
Intel Core i7-7820X @ 3.60GHz,17232
Intel Core i7-1260P,17221
Intel Xeon E-2378 @ 2.60GHz,17215
Intel Xeon W-3223 @ 3.50GHz,17204
AMD Ryzen 5 4400G,17160
AMD Ryzen 7 PRO 5850U,17155
Apple M1 Pro 8 Core 3200 MHz,17125
Intel Core i5-11400F @ 2.60GHz,17119
AMD Ryzen 5 5600H,17089
Intel Core i5-11400 @ 2.60GHz,17085
Intel Xeon E-2278G @ 3.40GHz,17023
AMD EPYC 7232P,17017
Intel Core i9-10900TE @ 1.80GHz,16914
